"All","Tot",module,Magento/AdminGws
"None","Cap",module,Magento/AdminGws
"Allowed Scopes","Àmbits permesos",module,Magento/AdminGws
"You need more permissions to delete this item(s): %1.","Vostè necessita més permisos per eliminar aquest (s) article (s): %1.",module,Magento/AdminGws
"You need more permissions to apply some of the rule updates.","Cal més permisos per aplicar algunes de les actualitzacions de les regles.",module,Magento/AdminGws
"Please assign this entity to a store view.","Si us plau, assigni aquesta entitat a una vista de botiga.",module,Magento/AdminGws
"You can create orders only in an active store.","Podeu crear ordres només en una botiga activa.",module,Magento/AdminGws
"Please assign this item to a store view.","Si us plau, assigni aquest element a un vista de botiga.",module,Magento/AdminGws
"You need more permissions to save this item.","Cal més permisos per guardar aquest element.",module,Magento/AdminGws
"You need more permissions to delete this item.","Cal més permisos per eliminar aquest element.",module,Magento/AdminGws
"You need more permissions to view this item.","You need more permissions to view this item.",module,Magento/AdminGws
"Please specify at least one website or one store group.","Please specify at least one website or one store group.",module,Magento/AdminGws
"You need more permissions to set All Scopes to a Role.","You need more permissions to set All Scopes to a Role.",module,Magento/AdminGws
"Incorrect website ID: %1","Incorrect website ID: %1",module,Magento/AdminGws
"You need more permissions to access website ""%1"".","Permisos insuficients per accedir al lloc web ""%1"".",module,Magento/AdminGws
"Incorrect store ID: %1","Incorrect store ID: %1",module,Magento/AdminGws
"You need more permissions to save this setting.","You need more permissions to save this setting.",module,Magento/AdminGws
"Role Scopes","Àmbits de Rol",module,Magento/AdminGws
"Custom","Personalitzat",module,Magento/AdminGws
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view",module,Magento/AdminGws
"More permissions are needed to delete the ""%1"" item.","More permissions are needed to delete the ""%1"" item.",module,Magento/AdminGws
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","This entity needs to be assigned to a store view. Verify the entity assignment and try again.",module,Magento/AdminGws
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again.",module,Magento/AdminGws
"This item needs to be assigned to a store view. Assign item and try again.","This item needs to be assigned to a store view. Assign item and try again.",module,Magento/AdminGws
"More permissions are needed to save this item.","More permissions are needed to save this item.",module,Magento/AdminGws
"More permissions are needed to delete this item.","More permissions are needed to delete this item.",module,Magento/AdminGws
"More permissions are needed to view this item.","More permissions are needed to view this item.",module,Magento/AdminGws
"At least one website or store group needs to be selected. Select and try again.","At least one website or store group needs to be selected. Select and try again.",module,Magento/AdminGws
"More permissions are needed to set All Scopes to a Role.","More permissions are needed to set All Scopes to a Role.",module,Magento/AdminGws
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","The ""%1"" website ID is incorrect. Verify the website ID and try again.",module,Magento/AdminGws
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","The ""%1"" store ID is incorrect. Verify the store ID and try again.",module,Magento/AdminGws
"More permissions are needed to save this setting.","More permissions are needed to save this setting.",module,Magento/AdminGws
"Read Details","Llegir detalls",module,Magento/AdminNotification
"Mark as Read","Marca com a llegit",module,Magento/AdminNotification
"Are you sure?","Segur?",module,Magento/AdminNotification
"Remove","Elimina",module,Magento/AdminNotification
"Messages Inbox","Safata d'entrada missatges",module,Magento/AdminNotification
"You have %1 new system messages","Hi ha %1 nous missatges de sistema",module,Magento/AdminNotification
"You have %1 new system message","Hi ha %1 nou missatge de sistema",module,Magento/AdminNotification
"Incoming Message","Missatge entrant",module,Magento/AdminNotification
"close","tanca",module,Magento/AdminNotification
"Notifications","Notificacions",module,Magento/AdminNotification
"The message has been marked as Read.","Missatge marcat com a llegit.",module,Magento/AdminNotification
"We couldn't mark the notification as Read because of an error.","No podem marcar la notificació com a llegida a causa d'un error.",module,Magento/AdminNotification
"Please select messages.","Seleccioneu missatges si us plau.",module,Magento/AdminNotification
"A total of %1 record(s) have been marked as Read.","%1 registre(s) s'ha(n) marcat com a llegit(s).",module,Magento/AdminNotification
"Total of %1 record(s) have been removed.","Un total de %1 registre(s) s'ha(n) eliminat.",module,Magento/AdminNotification
"We couldn't remove the messages because of an error.","No podem eliminar els missatges a causa d'un error.",module,Magento/AdminNotification
"The message has been removed.","S'ha eliminat el missatge.",module,Magento/AdminNotification
"1 Hour","1 Hora",module,Magento/AdminNotification
"2 Hours","2 Hores",module,Magento/AdminNotification
"6 Hours","6 Hores",module,Magento/AdminNotification
"12 Hours","12 Hores",module,Magento/AdminNotification
"24 Hours","24 Hores",module,Magento/AdminNotification
"critical","crítiques",module,Magento/AdminNotification
"major","importants",module,Magento/AdminNotification
"minor","a revisar",module,Magento/AdminNotification
"notice","avís",module,Magento/AdminNotification
"Wrong message type","Tipus de missatge erroni",module,Magento/AdminNotification
"Wrong notification ID specified.","ID de notificació especificat incorrecte.",module,Magento/AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} no es recomana utilitzar en un entorn de producció per declarar l'adreça URL Base no segura / URL Base segura. Es recomana canviar aquest valor a la <a href=""%1"">configuració</a> de Magento.",module,Magento/AdminNotification
"One or more of the Cache Types are invalidated: %1. ","Un o més dels tipus de memòria cau són invàlids: %1. ",module,Magento/AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Si us plau aneu a <a href=""%1"">Administració de memòria cau</a> i actualitzeu.",module,Magento/AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","No s'ha pogut sincronitzar un o més fitxers multimèdia. Consulteu el registre per veure'n els detalls.",module,Magento/AdminNotification
"Synchronization of media storages has been completed.","S'ha completat la sincronització de l'emmagatzematge.",module,Magento/AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","El servidor web no està ben configurat i permet l'accés a fitxers sensibles. Si us plau, poseu-vos en contacte amb el proveïdor del hosting.",module,Magento/AdminNotification
"System Messages:","Missatges de sistema:",module,Magento/AdminNotification
"Critical System Messages","Missatges crítics de sistema",module,Magento/AdminNotification
"Major System Messages","Missatges importants de sistema",module,Magento/AdminNotification
"System messages","Missatges de sistema",module,Magento/AdminNotification
"Close","Tanca",module,Magento/AdminNotification
"See All (","Veure tots (",module,Magento/AdminNotification
" unread)"," sense llegir)",module,Magento/AdminNotification
"Show Toolbar","Mostra a la barra d'eines",module,Magento/AdminNotification
"Show List","Mostra la llista",module,Magento/AdminNotification
"Use HTTPS to Get Feed","Utilitzar HTTPS per obtenir el Feed",module,Magento/AdminNotification
"Update Frequency","Freqüència d'actualització",module,Magento/AdminNotification
"Last Update","Darrera actualització",module,Magento/AdminNotification
"Severity","Gravetat",module,Magento/AdminNotification
"Date Added","Data en què s'ha afegit",module,Magento/AdminNotification
"Message","Missatge",module,Magento/AdminNotification
"Actions","Accions",module,Magento/AdminNotification
"Close popup","Tanca finestra emergent",module,Magento/AdminNotification
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","S'han vist i resolt totes les notificacions de sistema recents. Si us plau, refresqueu la pàgina per netejar les alertes.",module,Magento/AdminNotification
"Manage Shopping Cart","Gestionar la cistella",module,Magento/AdvancedCheckout
"Create Order","Crear comanda",module,Magento/AdvancedCheckout
"Back","Torna",module,Magento/AdvancedCheckout
"Add Products","Afegir productes",module,Magento/AdvancedCheckout
"Update Items and Quantities","Actualitzar articles i quantitats",module,Magento/AdvancedCheckout
"Are you sure you want to clear your cart?","Segur que voleu buidar la cistella?",module,Magento/AdvancedCheckout
"Clear my shopping cart","Buida la cistella",module,Magento/AdvancedCheckout
"Add selections to my cart","Afegir selecció a la cistella",module,Magento/AdvancedCheckout
