Mageplaza,Mageplaza,,
"Sign Out","Tanca sessió",module,Magento_Customer
"Sign In","Inicieu la sessió",module,Magento_Customer
"You are subscribed to our newsletter.","Esteu subscrit al nostre butlletí.",module,Magento_Customer
"You aren't subscribed to our newsletter.","No esteu subscrit a la nostra newsletter.",module,Magento_Customer
"You have not set a default shipping address.","No heu definit una adreça d’enviament predeterminada.",module,Magento_Customer
"You have not set a default billing address.","No heu definit una adreça de facturació predeterminada.",module,Magento_Customer
"Address Book","Llibreta d'adreces",module,Magento_Customer
"Edit Address","Edita l'adreça",module,Magento_Customer
"Add New Address","Afegeix una nova adreça",module,Magento_Customer
"region","regió",module,Magento_Customer
"Create Order","Crea comanda",module,Magento_Customer
"Save Customer","Desa el client",module,Magento_Customer
"Delete Customer","Suprimeix el client",module,Magento_Customer
"Reset Password","Restablir la contrasenya",module,Magento_Customer
"Are you sure you want to revoke the customer's tokens?","Esteu segur que voleu revocar les fitxes del client?",module,Magento_Customer
"Force Sign-In","Força l’inici de sessió",module,Magento_Customer
"New Customer","Nou client",module,Magento_Customer
"Save and Continue Edit","Desa i continua editant",module,Magento_Customer
"Back","esquena",module,Magento_Customer
"Please select","Seleccioneu",module,Magento_Customer
"Reset","Restablir",module,Magento_Customer
"ID","ID",module,Magento_Customer
"Product","Producte",module,Magento_Customer
"SKU","SKU",module,Magento_Customer
"Quantity","Quantitat",module,Magento_Customer
"Price","Preu",module,Magento_Customer
"Total","Total",module,Magento_Customer
"Action","Acció",module,Magento_Customer
"Configure","Configurar",module,Magento_Customer
"Delete","Suprimeix",module,Magento_Customer
"Shopping Cart from %1","Cistella de la compra des de %1",module,Magento_Customer
"Newsletter","Butlletí",module,Magento_Customer
"Newsletter Information","Informació del butlletí",module,Magento_Customer
"Subscribed to Newsletter","Subscrit a Newsletter",module,Magento_Customer
"Last Date Subscribed","Última data de subscripció",module,Magento_Customer
"Last Date Unsubscribed","Última data No donada de baixa",module,Magento_Customer
"No Newsletter Found","No s'ha trobat cap butlletí",module,Magento_Customer
"Start date","Data d'inici",module,Magento_Customer
"End Date","Data de finalització",module,Magento_Customer
"Receive Date","Data de recepció",module,Magento_Customer
"Subject","Assignatura",module,Magento_Customer
"Status","Estat",module,Magento_Customer
"Sent","Enviat",module,Magento_Customer
"Cancel","Cancel · lar",module,Magento_Customer
"Not Sent","No enviat",module,Magento_Customer
"Sending","S'està enviant",module,Magento_Customer
"Paused","En pausa",module,Magento_Customer
"View","Veure",module,Magento_Customer
"Unknown","Desconegut",module,Magento_Customer
"Order","Comanda",module,Magento_Customer
"Purchased","Comprat",module,Magento_Customer
"Bill-to Name","Nom de facturació",module,Magento_Customer
"Ship-to Name","Nom enviat a",module,Magento_Customer
"Order Total","Ordre total",module,Magento_Customer
"Purchase Point","Punt de compra",module,Magento_Customer
"Customer View","Vista del client",module,Magento_Customer
"There are no items in customer's shopping cart.","No hi ha articles a la cistella de la compra del client.",module,Magento_Customer
"Qty","Quantitat",module,Magento_Customer
"Confirmed","Confirmat",module,Magento_Customer
"Confirmation Required","Confirmació obligatòria",module,Magento_Customer
"Confirmation Not Required","No es requereix confirmació",module,Magento_Customer
"Indeterminate","Indeterminat",module,Magento_Customer
"The customer does not have default billing address.","El client no té una adreça de facturació predeterminada.",module,Magento_Customer
"Offline","Fora de línia",module,Magento_Customer
"Online","En línia",module,Magento_Customer
"Never","Mai",module,Magento_Customer
"Unlocked","Desbloquejat",module,Magento_Customer
"Locked","Bloquejat",module,Magento_Customer
"Deleted Stores","Botigues suprimides",module,Magento_Customer
"Add Locale","Afegeix Locale",module,Magento_Customer
"Add Date","Afegeix data",module,Magento_Customer
"Days in Wish List","Dies a la llista de desitjos",module,Magento_Customer
"Unlock","Desbloqueja",module,Magento_Customer
"No","No",module,Magento_Customer
"Yes","Sí",module,Magento_Customer
"Delete File","Esborrar Arxiu",module,Magento_Customer
"Download","descarregar",module,Magento_Customer
"Delete Image","Suprimeix imatge",module,Magento_Customer
"View Full Size","Veure la mida completa",module,Magento_Customer
"All countries","Tots els països",module,Magento_Customer
"Customer Groups","Grups de clients",module,Magento_Customer
"Add New Customer Group","Afegeix grup de clients nous",module,Magento_Customer
"Save Customer Group","Desa el grup de clients",module,Magento_Customer
"Delete Customer Group","Suprimeix el grup de clients",module,Magento_Customer
"New Customer Group","Nou grup de clients",module,Magento_Customer
"Edit Customer Group %1","Edita el grup de clients %1",module,Magento_Customer
"Group Information","Informació del grup",module,Magento_Customer
"Group Name","Nom del grup",module,Magento_Customer
"Maximum length must be less then %1 characters.","La longitud màxima ha de ser inferior a %1 caràcters.",module,Magento_Customer
"Tax Class","Classe fiscal",module,Magento_Customer
"The customer is now assigned to Customer Group %s.","El client ara està assignat al grup de clients %s.",module,Magento_Customer
"Would you like to change the Customer Group for this order?","Voleu canviar el grup de clients per aquesta comanda?",module,Magento_Customer
"The VAT ID is valid.","L’ID d’IVA és vàlid.",module,Magento_Customer
"The VAT ID entered (%s) is not a valid VAT ID.","L’identificador d’IVA introduït (%s) no és un identificador d’IVA vàlid.",module,Magento_Customer
"The VAT ID is valid. The current Customer Group will be used.","L’ID d’IVA és vàlid. S'utilitzarà el Grup de Clients actual.",module,Magento_Customer
"The VAT ID is valid but no Customer Group is assigned for it.","L'identificador d'IVA és vàlid, però no hi ha assignat cap grup de clients.",module,Magento_Customer
"Based on the VAT ID, the customer belongs to the Customer Group %s.","A partir de l’identificador d’IVA, el client pertany al grup de clients %s.",module,Magento_Customer
"Something went wrong while validating the VAT ID.","Alguna cosa va fallar mentre es va validar l'identificador de l'IVA.",module,Magento_Customer
"The customer would belong to Customer Group %s.","El client pertanyria al grup de clients %s.",module,Magento_Customer
"There was an error detecting Customer Group.","S'ha produït un error en detectar el grup de clients.",module,Magento_Customer
"Validate VAT Number","Validar el número d’IVA",module,Magento_Customer
"Customer Login","Inici de sessió del client",module,Magento_Customer
"Create New Customer Account","Creeu un compte de client nou",module,Magento_Customer
"Date of Birth","Data de naixement",module,Magento_Customer
"Bad request.","Mala sol·licitud",module,Magento_Customer
